Title	URL	Assignees	Status	Sprint	Task Type	Nature	Epic	Time Estimation	Actual Time
Personal ticket to any event	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/25	achillet3, christinehahaa	Done in Sprint 8	Sprint 8		User Story	Event Organization		
Sign-up	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/12	achillet3, nikhen-s	Done in Sprint 8	Sprint 8		User Story	Technical Requirements		
Group Chat Overview	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/210		Product Backlog			User Story			
Group chat overview Filter	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/213		Product Backlog			User Story			
Develop features for people that host events to easily create and manage them. By making it easy to create and check tickets via QR code.	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/11		Product Backlog				Event Organization		
Add features to make networking and interaction among event participants easier	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/10		Product Backlog				Networking		
Add profile picture to Messages Overview Screen	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/255	jgeaso1266	Done in Sprint 8	Sprint 8	ViewModel	Sprint Task	UX/UI	2h	2h
Add navigation from map view to the event details page	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/262	jgeaso1266	Done in Sprint 8	Sprint 8	ViewModel	Sprint Task	UX/UI	1.5h	1h
Event interaction summary	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/23	jgeaso1266	Done in Sprint 8	Sprint 8		User Story	Networking		
Add search bar to messages	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/263		Done in Sprint 8		ViewModel	Sprint Task	UX/UI		
Test EventDetailsViewModel Instantiation with hilt injection in tests files	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/295	Viccha18	Done in Sprint 8	Sprint 8	Backend	Sprint Task	Networking	3h	3h
Join Event	https://github.com/swent-sp-2024-event-radar/event-radar-app/issues/99	Viccha18	Done in Sprint 8	Sprint 8		User Story	Networking		
